2026-08-18 21:05:53,444 [INFO] 🚀 워커 봇 시작됨 (ID: worker_86a4afbf) - 16단계 상태머신 기반 KIS 001x 통신 대기 중...
2026-08-18 21:06:07,191 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:08,199 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:08,199 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:09,207 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:09,207 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:10,219 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:10,220 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:11,233 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:11,234 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:12,243 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
